domain,id,gold_sql
01_trading_company,28,"SELECT movement_type, COUNT(*) FROM inventory_movements GROUP BY movement_type ORDER BY COUNT(*) DESC LIMIT 1;"
01_trading_company,29,"SELECT order_number, total_amount, order_date FROM sales_orders WHERE total_amount > 100000 AND EXTRACT(YEAR FROM order_date) = 2024;"
01_trading_company,30,SELECT SUM(quantity) FROM inventory WHERE product_id = 1;
01_trading_company,32,"SELECT department, AVG(salary) FROM employees GROUP BY department;"
01_trading_company,36,"SELECT w.warehouse_name, COUNT(so.order_id) FROM sales_orders so JOIN warehouses w ON so.warehouse_id = w.warehouse_id GROUP BY w.warehouse_id ORDER BY COUNT(*) DESC LIMIT 1;"
01_trading_company,39,"SELECT EXTRACT(MONTH FROM order_date) as month, SUM(total_amount) FROM purchase_orders WHERE EXTRACT(YEAR FROM order_date) = 2021 GROUP BY EXTRACT(MONTH FROM order_date);"
01_trading_company,44,"SELECT order_number, order_date, shipped_date, (shipped_date - order_date) as days FROM sales_orders WHERE shipped_date IS NOT NULL AND (shipped_date - order_date) > 7;"
01_trading_company,47,SELECT product_name FROM products p JOIN brands b ON p.brand_id = b.brand_id WHERE b.brand_name = 'Бренд_1';
01_trading_company,52,"SELECT p.product_name, SUM(soi.quantity * soi.unit_price) as revenue FROM sales_order_items soi JOIN products p ON soi.product_id = p.product_id JOIN sales_orders so ON soi.order_id = so.order_id WHERE EXTRACT(YEAR FROM so.order_date) = 2023 GROUP BY p.product_id ORDER BY revenue DESC LIMIT 5;"
01_trading_company,54,"SELECT promotion_name, discount_percent, start_date, end_date FROM promotions WHERE discount_percent > 20;"
01_trading_company,55,"SELECT po_number, expected_delivery_date, status FROM purchase_orders WHERE expected_delivery_date < CURRENT_DATE AND status != 'received';"
01_trading_company,58,"SELECT first_name, last_name, hire_date FROM employees WHERE department = 'Закупки';"
01_trading_company,59,"SELECT status, COUNT(*) FROM sales_orders GROUP BY status;"
01_trading_company,63,"SELECT w.warehouse_name, COUNT(e.employee_id) FROM warehouses w LEFT JOIN employees e ON w.warehouse_id = e.warehouse_id GROUP BY w.warehouse_id;"
01_trading_company,65,"SELECT b.brand_name, COUNT(p.product_id) FROM brands b LEFT JOIN products p ON b.brand_id = p.brand_id GROUP BY b.brand_id;"
01_trading_company,68,"SELECT company_name, contact_name, customer_type FROM customers WHERE city = 'Санкт-Петербург';"
01_trading_company,69,SELECT product_name FROM products WHERE unit_of_measure = 'шт';
01_trading_company,70,"SELECT c.category_name, SUM(soi.quantity * soi.unit_price) FROM sales_order_items soi JOIN products p ON soi.product_id = p.product_id JOIN subcategories s ON p.subcategory_id = s.subcategory_id JOIN categories c ON s.category_id = c.category_id JOIN sales_orders so ON soi.order_id = so.order_id WHERE EXTRACT(YEAR FROM so.order_date) = 2024 GROUP BY c.category_id;"
01_trading_company,72,"SELECT promotion_type, COUNT(*) FROM promotions GROUP BY promotion_type;"
01_trading_company,76,"SELECT order_number, order_date FROM sales_orders WHERE sales_rep_id IS NULL;"
01_trading_company,78,"SELECT EXTRACT(QUARTER FROM order_date) as quarter, COUNT(*) FROM sales_orders WHERE EXTRACT(YEAR FROM order_date) = 2024 GROUP BY EXTRACT(QUARTER FROM order_date);"
01_trading_company,80,"SELECT product_name, description FROM products WHERE description IS NOT NULL;"
01_trading_company,82,"SELECT c.category_name, s.subcategory_name FROM categories c JOIN subcategories s ON c.category_id = s.category_id;"
01_trading_company,83,"SELECT po.po_number, COUNT(poi.poi_id) FROM purchase_orders po JOIN purchase_order_items poi ON po.po_id = poi.po_id GROUP BY po.po_id HAVING COUNT(poi.poi_id) > 10;"
01_trading_company,85,"SELECT product_name, product_code FROM products WHERE product_code LIKE 'PRD-1%';"
01_trading_company,87,SELECT product_name FROM products WHERE is_active = FALSE;
01_trading_company,89,"SELECT s.supplier_name, AVG(po.total_amount) FROM purchase_orders po JOIN suppliers s ON po.supplier_id = s.supplier_id GROUP BY s.supplier_id;"
01_trading_company,90,"SELECT city, COUNT(*) as cnt FROM customers GROUP BY city ORDER BY cnt DESC LIMIT 3;"
01_trading_company,91,"SELECT order_number, order_date, shipped_date FROM sales_orders WHERE shipped_date IS NOT NULL AND EXTRACT(MONTH FROM order_date) = EXTRACT(MONTH FROM shipped_date) AND EXTRACT(YEAR FROM order_date) = EXTRACT(YEAR FROM shipped_date);"
01_trading_company,94,"SELECT promotion_name, end_date FROM promotions WHERE EXTRACT(YEAR FROM end_date) = 2024;"
01_trading_company,95,"SELECT po_number, order_date, actual_delivery_date, (actual_delivery_date - order_date) as days FROM purchase_orders WHERE actual_delivery_date IS NOT NULL;"
01_trading_company,96,"SELECT brand_name, founded_year FROM brands WHERE founded_year > 2010;"
01_trading_company,98,SELECT product_name FROM products WHERE subcategory_id = 12;
01_trading_company,100,"SELECT c.discount_tier, AVG(so.discount_percent) FROM sales_orders so JOIN customers c ON so.customer_id = c.customer_id GROUP BY c.discount_tier;"
02_legal_firm,1,SELECT COUNT(*) FROM cases WHERE status = 'open';
02_legal_firm,7,"SELECT l.first_name, l.last_name, COUNT(ca.assignment_id) FROM lawyers l JOIN case_assignments ca ON l.lawyer_id = ca.lawyer_id GROUP BY l.lawyer_id ORDER BY COUNT(*) DESC LIMIT 5;"
02_legal_firm,8,"SELECT case_number, case_title, estimated_value FROM cases WHERE estimated_value > 10000000;"
02_legal_firm,9,SELECT SUM(hours) FROM time_entries WHERE EXTRACT(YEAR FROM entry_date) = 2022;
02_legal_firm,12,"SELECT case_type, COUNT(*) FROM cases GROUP BY case_type;"
02_legal_firm,15,SELECT SUM(paid_amount) FROM invoices WHERE status = 'paid';
02_legal_firm,18,"SELECT c.client_id, c.company_name, COUNT(cs.case_id) FROM clients c JOIN cases cs ON c.client_id = cs.client_id GROUP BY c.client_id HAVING COUNT(cs.case_id) > 3;"
02_legal_firm,19,"SELECT case_id, SUM(hours) FROM time_entries WHERE activity_type = 'court' GROUP BY case_id;"
02_legal_firm,20,"SELECT case_number, closing_date, outcome FROM cases WHERE EXTRACT(YEAR FROM closing_date) = 2023;"
02_legal_firm,21,"SELECT c.company_name, AVG(i.total_amount) FROM invoices i JOIN clients c ON i.client_id = c.client_id GROUP BY c.client_id;"
02_legal_firm,28,"SELECT l.last_name, SUM(ca.hours_billed) FROM case_assignments ca JOIN lawyers l ON ca.lawyer_id = l.lawyer_id JOIN cases c ON ca.case_id = c.case_id WHERE EXTRACT(YEAR FROM c.filing_date) = 2023 GROUP BY l.lawyer_id;"
02_legal_firm,29,SELECT SUM(amount) FROM payments WHERE EXTRACT(YEAR FROM payment_date) = 2024;
02_legal_firm,32,SELECT COUNT(*) FROM time_entries WHERE billable = TRUE;
02_legal_firm,33,"SELECT first_name, last_name, city FROM clients WHERE client_type = 'individual';"
02_legal_firm,34,"SELECT c.case_number, co.court_name FROM cases c JOIN courts co ON c.court_id = co.court_id WHERE c.court_id IS NOT NULL;"
02_legal_firm,35,"SELECT case_id, SUM(amount) FROM case_expenses WHERE reimbursable = TRUE GROUP BY case_id;"
02_legal_firm,36,"SELECT c.company_name, SUM(i.total_amount) FROM invoices i JOIN clients c ON i.client_id = c.client_id GROUP BY c.client_id ORDER BY SUM(i.total_amount) DESC LIMIT 10;"
02_legal_firm,41,"SELECT case_number, outcome, closing_date FROM cases WHERE outcome IS NOT NULL AND status IN ('won','lost','settled');"
02_legal_firm,42,"SELECT status, COUNT(*) FROM cases GROUP BY status;"
02_legal_firm,44,"SELECT invoice_number, total_amount, paid_amount FROM invoices WHERE status = 'partial';"
02_legal_firm,47,SELECT COUNT(*) FROM time_entries WHERE billed = FALSE AND billable = TRUE;
02_legal_firm,49,"SELECT contract_number, expiry_date, value FROM contracts WHERE EXTRACT(YEAR FROM expiry_date) = 2025;"
02_legal_firm,50,"SELECT payment_method, COUNT(*), SUM(amount) FROM payments GROUP BY payment_method;"
02_legal_firm,51,"SELECT c.case_number, l.first_name, l.last_name FROM case_assignments ca JOIN cases c ON ca.case_id = c.case_id JOIN lawyers l ON ca.lawyer_id = l.lawyer_id WHERE ca.role = 'lead';"
02_legal_firm,52,SELECT AVG(amount) FROM case_expenses;
02_legal_firm,55,"SELECT case_number, estimated_value FROM cases WHERE estimated_value BETWEEN 1000000 AND 5000000;"
02_legal_firm,56,"SELECT description, quantity, unit_price, amount FROM invoice_items WHERE invoice_id = 100;"
02_legal_firm,59,"SELECT first_name, last_name, hourly_rate FROM lawyers WHERE is_partner = TRUE;"
02_legal_firm,60,"SELECT invoice_number, due_date, total_amount FROM invoices WHERE due_date < CURRENT_DATE AND status NOT IN ('paid');"
02_legal_firm,63,"SELECT c.case_number, COUNT(ca.lawyer_id) FROM cases c JOIN case_assignments ca ON c.case_id = ca.case_id GROUP BY c.case_id HAVING COUNT(ca.lawyer_id) > 2;"
02_legal_firm,64,"SELECT i.invoice_number, SUM(p.amount) FROM payments p JOIN invoices i ON p.invoice_id = i.invoice_id GROUP BY i.invoice_id;"
02_legal_firm,66,"SELECT case_number, case_title FROM cases WHERE case_type = 'corporate';"
02_legal_firm,67,"SELECT activity_type, SUM(hours) FROM time_entries WHERE EXTRACT(YEAR FROM entry_date) = 2024 GROUP BY activity_type;"
02_legal_firm,69,SELECT AVG(closing_date - filing_date) FROM cases WHERE closing_date IS NOT NULL AND filing_date IS NOT NULL;
02_legal_firm,72,"SELECT case_number, outcome FROM cases WHERE outcome ILIKE '%урегулирован%' OR outcome ILIKE '%settled%';"
02_legal_firm,73,"SELECT invoice_number, total_amount FROM invoices WHERE EXTRACT(YEAR FROM issue_date) = 2022 AND total_amount > 500000;"
02_legal_firm,75,"SELECT c.case_number, COUNT(h.hearing_id) FROM cases c LEFT JOIN hearings h ON c.case_id = h.case_id GROUP BY c.case_id;"
02_legal_firm,76,"SELECT c.case_number, co.court_name FROM cases c JOIN courts co ON c.court_id = co.court_id WHERE co.city = 'Москва';"
02_legal_firm,77,"SELECT case_id, expense_date, amount FROM case_expenses WHERE amount > 50000;"
02_legal_firm,79,"SELECT c.case_number, COUNT(d.document_id) FROM cases c JOIN documents d ON c.case_id = d.case_id GROUP BY c.case_id HAVING COUNT(d.document_id) > 5;"
02_legal_firm,82,"SELECT deadline_date, description, completed FROM deadlines WHERE responsible_lawyer_id = 5;"
02_legal_firm,83,"SELECT AVG(total_hours) FROM (SELECT case_id, SUM(hours) as total_hours FROM time_entries GROUP BY case_id) sub;"
02_legal_firm,84,"SELECT company_name, first_name, last_name, registration_date FROM clients WHERE EXTRACT(YEAR FROM registration_date) = 2020;"
02_legal_firm,88,"SELECT case_number, status FROM cases WHERE case_type = 'civil';"
02_legal_firm,89,SELECT SUM(amount) FROM payments WHERE payment_date >= '2024-10-01' AND payment_date <= '2024-12-31';
02_legal_firm,91,"SELECT case_number, case_title FROM cases WHERE estimated_value IS NULL;"
02_legal_firm,92,"SELECT document_name, case_id, upload_date FROM documents WHERE document_type = 'contract';"
02_legal_firm,94,"SELECT EXTRACT(YEAR FROM issue_date) as year, AVG(total_amount) FROM invoices GROUP BY EXTRACT(YEAR FROM issue_date);"
02_legal_firm,98,"SELECT hearing_date, hearing_type FROM hearings WHERE hearing_date >= '2023-01-01' AND hearing_date < '2023-07-01';"
02_legal_firm,100,"SELECT pa.area_name, SUM(i.total_amount) FROM invoices i JOIN cases c ON i.case_id = c.case_id JOIN practice_areas pa ON c.practice_area_id = pa.practice_area_id WHERE EXTRACT(YEAR FROM i.issue_date) = 2024 GROUP BY pa.practice_area_id;"
03_logistics_company,1,SELECT COUNT(*) FROM shipments WHERE status = 'delivered' AND EXTRACT(YEAR FROM shipment_date) = 2023;
03_logistics_company,3,SELECT COUNT(*) FROM drivers WHERE status = 'available';
03_logistics_company,4,"SELECT c.customer_name, COUNT(s.shipment_id) FROM shipments s JOIN customers c ON s.shipper_id = c.customer_id GROUP BY c.customer_id ORDER BY COUNT(*) DESC LIMIT 5;"
03_logistics_company,5,SELECT AVG(declared_value) FROM shipments WHERE declared_value IS NOT NULL;
03_logistics_company,7,"SELECT route_code, distance_km, estimated_duration_hours FROM routes WHERE distance_km > 1000;"
03_logistics_company,8,"SELECT event_type, COUNT(*) FROM tracking_events WHERE EXTRACT(YEAR FROM event_timestamp) = 2024 GROUP BY event_type;"
03_logistics_company,9,SELECT COUNT(*) FROM trips WHERE status = 'completed' AND EXTRACT(YEAR FROM planned_departure) = 2023;
03_logistics_company,10,"SELECT location_name, city FROM locations WHERE location_type = 'warehouse';"
03_logistics_company,13,"SELECT tracking_number, total_weight_kg, shipment_date FROM shipments WHERE total_weight_kg > 200;"
03_logistics_company,16,"SELECT status, COUNT(*) FROM shipments GROUP BY status;"
03_logistics_company,17,"SELECT route_code, distance_km FROM routes ORDER BY distance_km DESC LIMIT 3;"
03_logistics_company,23,"SELECT event_type, event_timestamp, description FROM tracking_events WHERE shipment_id = 100 ORDER BY event_timestamp;"
03_logistics_company,25,"SELECT city, COUNT(*) FROM locations GROUP BY city;"
03_logistics_company,27,"SELECT invoice_number, total_amount, due_date FROM invoices WHERE status = 'overdue';"
03_logistics_company,28,"SELECT type_name, hazard_class FROM cargo_types WHERE hazard_class IS NOT NULL;"
03_logistics_company,29,"SELECT route_code, origin_location_id, destination_location_id, distance_km FROM routes WHERE route_type = 'express';"
03_logistics_company,30,"SELECT d.first_name, d.last_name, COUNT(t.trip_id) FROM trips t JOIN drivers d ON t.driver_id = d.driver_id WHERE EXTRACT(YEAR FROM t.planned_departure) = 2023 GROUP BY d.driver_id;"
03_logistics_company,31,"SELECT vehicle_number, mileage_km, status FROM vehicles WHERE mileage_km > 200000;"
03_logistics_company,32,"SELECT tracking_number, expected_delivery_date, actual_delivery_date FROM shipments WHERE actual_delivery_date > expected_delivery_date;"
03_logistics_company,36,"SELECT trip_number, fuel_consumed_liters, status FROM trips WHERE fuel_consumed_liters > 200;"
03_logistics_company,42,"SELECT vehicle_number, last_maintenance_date FROM vehicles WHERE last_maintenance_date < CURRENT_DATE - INTERVAL '1 year';"
03_logistics_company,43,"SELECT tracking_number, declared_value, shipper_id FROM shipments WHERE declared_value > 100000;"
03_logistics_company,44,"SELECT ct.type_name, AVG(si.weight_kg) FROM shipment_items si JOIN cargo_types ct ON si.cargo_type_id = ct.cargo_type_id GROUP BY ct.cargo_type_id;"
03_logistics_company,47,"SELECT t.trip_number, COUNT(ts.shipment_id) FROM trips t LEFT JOIN trip_shipments ts ON t.trip_id = ts.trip_id GROUP BY t.trip_id;"
03_logistics_company,53,"SELECT customer_name, contract_end_date FROM customers WHERE contract_end_date < CURRENT_DATE;"
03_logistics_company,56,"SELECT vt.type_name, COUNT(v.vehicle_id) FROM vehicles v JOIN vehicle_types vt ON v.vehicle_type_id = vt.vehicle_type_id GROUP BY vt.vehicle_type_id;"
03_logistics_company,57,"SELECT i.incident_type, s.tracking_number, i.cost FROM incidents i JOIN shipments s ON i.shipment_id = s.shipment_id;"
03_logistics_company,58,"SELECT trip_number, route_id, status FROM trips WHERE driver_id IS NULL;"
03_logistics_company,61,"SELECT operation_type, COUNT(*) FROM warehouse_operations WHERE EXTRACT(YEAR FROM operation_date) = 2023 GROUP BY operation_type;"
03_logistics_company,62,"SELECT r.route_code, COUNT(rl.leg_id) FROM routes r LEFT JOIN route_legs rl ON r.route_id = rl.route_id GROUP BY r.route_id;"
03_logistics_company,63,"SELECT description, quantity, unit_price, amount FROM invoice_lines WHERE invoice_id = 50;"
03_logistics_company,65,"SELECT vehicle_number, vehicle_type_id FROM vehicles WHERE status = 'out_of_service';"
03_logistics_company,66,"SELECT zone_name, rate_per_kg, min_charge FROM pricing_zones WHERE rate_per_kg IS NOT NULL;"
03_logistics_company,67,"SELECT c.customer_name, COUNT(s.shipment_id) FROM shipments s JOIN customers c ON s.consignee_id = c.customer_id GROUP BY c.customer_id;"
03_logistics_company,70,SELECT AVG(actual_delivery_date - shipment_date) FROM shipments WHERE actual_delivery_date IS NOT NULL;
03_logistics_company,71,"SELECT cc.contract_number, c.customer_name, cc.discount_percent FROM customer_contracts cc JOIN customers c ON cc.customer_id = c.customer_id WHERE cc.status = 'active';"
03_logistics_company,72,"SELECT s.tracking_number, i.incident_type, i.cost FROM incidents i JOIN shipments s ON i.shipment_id = s.shipment_id WHERE EXTRACT(YEAR FROM i.incident_date) = 2024;"
03_logistics_company,73,"SELECT first_name, last_name, current_vehicle_id FROM drivers WHERE status = 'on_route';"
03_logistics_company,76,"SELECT location_name, latitude, longitude, city FROM locations WHERE latitude IS NOT NULL;"
03_logistics_company,79,"SELECT v.vehicle_number, SUM(ft.liters), SUM(ft.cost) FROM fuel_transactions ft JOIN vehicles v ON ft.vehicle_id = v.vehicle_id WHERE EXTRACT(YEAR FROM ft.transaction_date) = 2024 GROUP BY v.vehicle_id;"
03_logistics_company,81,"SELECT trip_number, status, planned_departure FROM trips WHERE status = 'delayed';"
03_logistics_company,82,"SELECT customer_name, contact_person FROM customers WHERE customer_type = 'both';"
03_logistics_company,85,"SELECT vehicle_number, purchase_date, mileage_km FROM vehicles WHERE EXTRACT(YEAR FROM purchase_date) = 2020;"
03_logistics_company,89,"SELECT t.trip_number, s.tracking_number FROM trip_shipments ts JOIN trips t ON ts.trip_id = t.trip_id JOIN shipments s ON ts.shipment_id = s.shipment_id;"
03_logistics_company,91,"SELECT location_name, city FROM locations WHERE location_type = 'terminal';"
03_logistics_company,93,"SELECT invoice_number, total_amount, invoice_date FROM invoices WHERE status = 'paid' AND EXTRACT(YEAR FROM invoice_date) = 2024;"
03_logistics_company,94,SELECT s.tracking_number FROM shipments s JOIN (SELECT shipment_id FROM shipment_items GROUP BY shipment_id HAVING COUNT(*) = 1) sub ON s.shipment_id = sub.shipment_id;
03_logistics_company,95,SELECT r.route_code FROM routes r JOIN route_legs rl ON r.route_id = rl.route_id WHERE rl.transport_mode = 'multimodal';
03_logistics_company,96,"SELECT status, COUNT(*) FROM trips GROUP BY status;"
03_logistics_company,99,"SELECT EXTRACT(MONTH FROM invoice_date) as month, SUM(total_amount) FROM invoices WHERE EXTRACT(YEAR FROM invoice_date) = 2023 GROUP BY EXTRACT(MONTH FROM invoice_date);"
04_mining_company,1,SELECT COUNT(*) FROM mines WHERE status = 'operational';
04_mining_company,5,"SELECT mt.mineral_name, mm.estimated_reserves_tonnes, mm.average_grade_percent FROM mine_minerals mm JOIN mineral_types mt ON mm.mineral_type_id = mt.mineral_type_id WHERE mm.mine_id = 1;"
04_mining_company,6,"SELECT d.department_name, AVG(e.salary) FROM employees e JOIN departments d ON e.department_id = d.department_id GROUP BY d.department_id;"
04_mining_company,7,"SELECT incident_date, incident_type, mine_id, description FROM safety_incidents WHERE severity = 'high' AND EXTRACT(YEAR FROM incident_date) = 2023;"
04_mining_company,8,"SELECT mt.mineral_name, SUM(er.ore_tonnes) FROM extraction_records er JOIN mineral_types mt ON er.mineral_type_id = mt.mineral_type_id WHERE EXTRACT(YEAR FROM er.extraction_date) = 2024 GROUP BY mt.mineral_type_id;"
04_mining_company,9,"SELECT contract_number, customer_id, quantity_tonnes, price_per_tonne FROM sales_contracts WHERE status = 'active';"
04_mining_company,11,"SELECT mine_name, capacity_annual_tonnes FROM mines WHERE region = 'Сибирь';"
04_mining_company,14,"SELECT cost_category, SUM(amount) FROM operating_costs WHERE EXTRACT(YEAR FROM cost_date) = 2024 GROUP BY cost_category;"
04_mining_company,16,"SELECT mine_name, capacity_annual_tonnes, region FROM mines WHERE capacity_annual_tonnes > 1000000;"
04_mining_company,17,"SELECT incident_date, incident_type, lost_time_days, mine_id FROM safety_incidents WHERE lost_time_days > 5;"
04_mining_company,21,"SELECT mt.mineral_name, AVG(er.grade_percent) FROM extraction_records er JOIN mineral_types mt ON er.mineral_type_id = mt.mineral_type_id WHERE er.grade_percent IS NOT NULL GROUP BY mt.mineral_type_id;"
04_mining_company,24,"SELECT first_name, last_name, position, certification FROM employees WHERE certification IS NOT NULL;"
04_mining_company,27,"SELECT mt.mineral_name, SUM(mm.estimated_reserves_tonnes) FROM mine_minerals mm JOIN mineral_types mt ON mm.mineral_type_id = mt.mineral_type_id GROUP BY mt.mineral_type_id;"
04_mining_company,30,"SELECT e.first_name, e.last_name, st.training_name FROM training_attendance ta JOIN employees e ON ta.employee_id = e.employee_id JOIN safety_trainings st ON ta.training_id = st.training_id WHERE ta.passed = FALSE;"
04_mining_company,31,SELECT SUM(amount) FROM operating_costs WHERE cost_category = 'fuel' AND EXTRACT(YEAR FROM cost_date) = 2024;
04_mining_company,32,"SELECT equipment_code, total_operating_hours, mine_id FROM equipment WHERE total_operating_hours > 20000;"
04_mining_company,34,"SELECT mt.mineral_name, AVG(sc.price_per_tonne) FROM sales_contracts sc JOIN mineral_types mt ON sc.mineral_type_id = mt.mineral_type_id GROUP BY mt.mineral_type_id;"
04_mining_company,35,"SELECT mine_name, region, opening_date FROM mines WHERE status = 'exploration';"
04_mining_company,37,"SELECT plant_id, process_date, recovery_rate_percent, output_tonnes FROM processing_records WHERE recovery_rate_percent > 90;"
04_mining_company,39,"SELECT e.first_name, e.last_name FROM employees e JOIN departments d ON e.department_id = d.department_id WHERE d.department_type = 'safety';"
04_mining_company,40,"SELECT mineral_name, market_price_per_unit, unit_of_measure FROM mineral_types WHERE market_price_per_unit > 1000;"
04_mining_company,41,"SELECT es.site_name, m.mine_name, SUM(er.ore_tonnes) FROM extraction_records er JOIN extraction_sites es ON er.site_id = es.site_id JOIN mines m ON er.mine_id = m.mine_id GROUP BY es.site_id, m.mine_id;"
04_mining_company,49,"SELECT mine_name, capacity_annual_tonnes FROM mines WHERE capacity_annual_tonnes < 500000;"
04_mining_company,51,"SELECT SUM(er.ore_tonnes), SUM(er.concentrate_tonnes) FROM extraction_records er JOIN mineral_types mt ON er.mineral_type_id = mt.mineral_type_id WHERE mt.mineral_name = 'Медь' AND EXTRACT(YEAR FROM er.extraction_date) = 2023;"
04_mining_company,52,"SELECT plant_name, mine_id, capacity_tonnes_per_day FROM processing_plants WHERE process_type = 'flotation';"
04_mining_company,54,"SELECT c.customer_name, SUM(sc.quantity_tonnes * sc.price_per_tonne) FROM sales_contracts sc JOIN customers c ON sc.customer_id = c.customer_id GROUP BY c.customer_id ORDER BY SUM(sc.quantity_tonnes * sc.price_per_tonne) DESC LIMIT 5;"
04_mining_company,59,"SELECT contract_number, delivery_terms, quantity_tonnes FROM sales_contracts WHERE delivery_terms IS NOT NULL;"
04_mining_company,60,"SELECT region, COUNT(*), SUM(capacity_annual_tonnes) FROM mines GROUP BY region;"
04_mining_company,62,"SELECT incident_date, incident_type, mine_id, lost_time_days FROM safety_incidents WHERE severity = 'critical';"
04_mining_company,63,"SELECT equipment_code, last_maintenance_date FROM equipment WHERE last_maintenance_date < CURRENT_DATE - INTERVAL '1 year';"
04_mining_company,65,"SELECT mineral_name, chemical_formula FROM mineral_types WHERE chemical_formula IS NOT NULL;"
04_mining_company,66,"SELECT m.mine_name, d.department_name, d.department_type FROM departments d JOIN mines m ON d.mine_id = m.mine_id;"
04_mining_company,67,"SELECT m.mine_name, SUM(er.ore_tonnes), AVG(er.grade_percent) FROM extraction_records er JOIN mineral_types mt ON er.mineral_type_id = mt.mineral_type_id JOIN mines m ON er.mine_id = m.mine_id WHERE mt.mineral_name = 'Золото' GROUP BY m.mine_id;"
04_mining_company,68,"SELECT shipment_number, quantity_tonnes, shipment_date FROM shipments WHERE status = 'in_transit';"
04_mining_company,71,"SELECT cost_category, SUM(amount), COUNT(*) FROM operating_costs GROUP BY cost_category;"
04_mining_company,72,"SELECT contract_number, quantity_tonnes, price_per_tonne FROM sales_contracts WHERE status = 'fulfilled';"
04_mining_company,73,"SELECT e.equipment_code, m.mine_name FROM equipment e JOIN equipment_types et ON e.equipment_type_id = et.equipment_type_id JOIN mines m ON e.mine_id = m.mine_id WHERE et.category = 'haul_truck';"
04_mining_company,75,"SELECT extraction_date, ore_tonnes, grade_percent, mineral_type_id FROM extraction_records WHERE site_id = 1;"
04_mining_company,77,"SELECT m.mine_name, COUNT(pp.plant_id) FROM processing_plants pp JOIN mines m ON pp.mine_id = m.mine_id GROUP BY m.mine_id HAVING COUNT(pp.plant_id) > 1;"
04_mining_company,81,"SELECT department_name, mine_id FROM departments WHERE department_type = 'maintenance';"
04_mining_company,84,"SELECT equipment_code, equipment_type_id, total_operating_hours FROM equipment WHERE status = 'decommissioned';"
04_mining_company,86,SELECT SUM(amount) FROM operating_costs WHERE cost_category = 'explosives' AND EXTRACT(YEAR FROM cost_date) = 2024;
04_mining_company,87,"SELECT mine_name, capacity_annual_tonnes, status FROM mines WHERE region = 'Урал';"
04_mining_company,89,"SELECT d.department_name, COUNT(e.employee_id) FROM employees e JOIN departments d ON e.department_id = d.department_id GROUP BY d.department_id;"
04_mining_company,92,"SELECT m.mine_name, COUNT(si.incident_id) FROM safety_incidents si JOIN mines m ON si.mine_id = m.mine_id WHERE EXTRACT(YEAR FROM si.incident_date) = 2023 GROUP BY m.mine_id;"
04_mining_company,96,"SELECT sc.contract_number, c.customer_name, sc.quantity_tonnes FROM sales_contracts sc JOIN customers c ON sc.customer_id = c.customer_id WHERE c.country = 'Россия';"
